,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2017-01-01,-1.20377568,46.04242465,-0.77021575,-1.1011667,-0.42622159,-0.13381955,-45.42559417,-1.53895714,0.75349475,-0.67564891,-0.42987079,3.53268366,0.81775355,-0.65524218,2.82117305,0.07643947,-1.16640837,0.48295169
2017-02-01,-2.10747575,9.83157487,-0.09996649,0.55467176,2.18086041,-0.65437755,-8.13462735,2.13164147,-0.86896276,-1.29651674,1.25353572,-6.52166939,0.86282518,-1.15719677,3.67397929,1.54310592,-0.95359398,0.76219216
2017-03-01,-1.98326345,7.28281535,0.082167,1.75321331,1.68308191,-1.63865864,-4.07797696,2.18772433,0.84392425,-1.63725181,1.14098011,-6.68344874,0.08529437,-1.37496913,2.10092672,1.3946719,-0.79028527,0.63105475
2017-04-01,0.29555466,-75.92858643,1.5932164,-2.99138815,-2.59974781,3.16250002,73.06524159,-3.29348929,-1.53996942,0.86011494,-0.8326596,11.60389669,-0.78593239,2.31305673,-1.7699279,-2.84554975,1.64737808,-0.95370836
2017-05-01,0.6733374,-7.6677653,0.04286638,-0.86908855,-1.09037105,0.70994905,7.1698447,-1.2374511,-0.3907743,-0.01025467,-0.47093461,4.79516276,0.11828054,0.65984201,-0.43924063,-0.98118611,0.58237511,-0.59459165
2017-06-01,3.96198808,-22.49739549,-0.83114433,-1.21216223,-2.502734,1.27305193,21.43055381,-1.5524837,-0.45418512,-0.8901738,-0.37284494,8.41286342,-1.21157226,1.5508205,-2.97209425,-1.54157017,1.67847674,-1.26939418
2017-07-01,-0.03318841,-13.60485283,0.30838154,-0.29739074,-0.85712421,0.09838454,13.74343523,-0.26190788,-0.19918954,0.3746877,-0.04980803,1.34070379,0.00152804,0.27638977,0.48485511,0.01294485,0.65539033,-0.99323926
2017-08-01,0.47450788,-8.09905556,-0.06763118,-0.4613905,-0.65835186,0.65416685,8.06937821,-0.65308798,-0.34509181,-0.04559803,-0.33121168,2.42987957,-0.02567304,0.50951561,0.22293323,-0.61801367,0.28812643,-0.34340247
2017-09-01,0.40735895,-8.06215296,-0.11097505,-0.46176283,-0.55847631,0.4528784,8.57813387,-0.648125,-0.1899917,0.0065211,-0.31053066,2.44429763,-0.29581348,0.08834298,0.30631168,-0.49955497,0.22567029,-0.37213195
2017-10-01,0.43973512,-12.59427587,0.02219641,-0.14910342,-0.08528675,-0.32976357,13.00172655,-0.10278986,-0.59859007,-0.19755998,-0.24514362,1.68839221,-0.27061147,-0.10984099,0.89828276,-0.41459537,-0.01048184,0.05770975
