,AUSTRALIA,EURO AREA,NEW ZEALAND,UNITED KINGDOM,BRAZIL,CANADA,DENMARK,JAPAN,MEXICO,NORWAY,SOUTH AFRICA,SINGAPORE,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,CZECHIA,HUNGARY
2017-03-01,11.60465364,-1.45327607,1.97157421,-11.02778869,-11.90538376,14.63518949,-0.99984323,-10.56000224,-6.95854461,1.3872755,-5.83866686,21.19372972,-0.45439601,11.67154342,3.62931508,-13.84355514,3.82456232,-5.87638678
2017-04-01,3.56189335,-0.43172707,0.54634212,-3.02434193,-3.6117828,3.98600527,-0.27751609,-2.83844995,-1.50444517,0.10615875,-1.57219893,5.93952505,-0.05694367,3.30692293,1.71207471,-4.15513118,1.24666378,-1.93304917
2017-05-01,2.7951353,-0.16004814,0.23079578,-2.34239499,-2.90910702,2.82201443,-0.05090837,-2.2403317,-0.7805149,-0.16552466,-1.03072772,4.81470771,0.09153296,2.50952449,1.51019205,-3.36557044,0.97300704,-1.70178184
2017-06-01,2.02431066,-0.12266322,0.08406505,-1.61688936,-2.14209645,2.05007947,-0.02764427,-1.52953019,-0.31667237,-0.15092136,-0.94244782,3.62403197,-0.04168386,1.87191961,1.33624227,-2.57687063,0.77954909,-1.30277859
2017-07-01,1.97470592,-0.12322818,0.08992731,-1.50000083,-2.20104818,1.55079469,-0.0248712,-1.58212938,-0.40788575,-0.09142563,-0.82693266,3.65373783,-0.01068531,1.78675067,1.51707473,-2.42374503,0.83014216,-1.21118116
2017-08-01,1.90599912,-0.14739678,0.07526789,-1.53142956,-2.29849665,1.40746872,-0.05420295,-1.53545902,-0.31442244,-0.12702163,-0.67785907,3.80289525,0.13418478,1.79414574,1.32135613,-2.42160617,0.89982521,-1.23324859
2017-09-01,2.30733116,-0.10102927,0.00528048,-1.86016789,-2.68321063,1.85673192,-0.01354699,-1.86399764,-0.24587253,-0.24542147,-0.90036753,4.40959602,0.05271794,2.12642839,1.4911387,-2.97634087,1.06800331,-1.42727309
2017-10-01,2.38486901,-0.0378097,0.07867014,-1.97739809,-2.67589709,1.7567633,0.06212224,-1.87233808,-0.35269414,-0.1430707,-0.99608467,4.4933938,0.18327515,1.9310048,1.57145599,-3.0450777,0.87504332,-1.23622759
2017-11-01,2.26004505,0.04712041,0.21353378,-1.67569211,-2.56648708,1.57964005,0.1681432,-1.8481562,-0.26567007,-0.33922878,-0.90821459,4.32415943,0.16315113,1.77431146,1.58373429,-3.00767745,0.72245699,-1.22516951
2017-12-01,3.34621877,0.06393821,0.22819269,-2.36213569,-3.71526975,2.0761354,0.24626243,-2.69296756,-0.29523169,-0.56899685,-1.36244663,6.0639933,0.21047841,2.65336041,2.33116226,-4.59718652,1.04390099,-1.66940818
2018-01-01,5.59223253,0.06025641,0.457382,-3.68398636,-6.0207903,3.0158368,0.35122546,-4.51115423,-0.38979377,-0.50927948,-2.26106285,9.71200489,0.22073739,3.9343944,3.67801435,-7.45831907,1.11376713,-2.30146529
2018-02-01,3.61971677,0.13914109,0.08010254,-1.94032262,-3.8234978,2.1347307,0.34135159,-2.71043367,-0.53297185,-0.64801028,-0.92201109,5.83673108,0.38194607,2.46106946,2.3159189,-4.68038008,0.50152022,-1.55460102
2018-03-01,2.68955132,0.13710307,0.11478422,-1.3057326,-2.97403973,1.6354517,0.25859881,-2.07472151,-0.48497577,-0.43123117,-0.47998378,4.43517845,0.3576835,1.70883911,1.91662417,-3.64615962,0.31472088,-1.17169105
2018-04-01,2.16019927,0.1310258,0.14152845,-1.0490224,-2.54570355,1.26217533,0.25121924,-1.63861202,-0.29162863,-0.30460068,-0.28817613,3.64618479,0.24275761,1.48032987,1.64158722,-3.10202082,0.3353373,-1.07258067
2018-05-01,2.08927576,0.18533512,0.17943476,-0.95142965,-2.4802008,1.03611785,0.29308274,-1.53582579,-0.20110052,-0.15109658,-0.22822779,3.69015808,0.09350724,1.27879053,1.58534997,-3.14392573,0.29399714,-1.03324233
2018-06-01,2.06867777,0.18265021,0.20033178,-0.92570386,-2.46722623,1.07642219,0.29217575,-1.50965507,-0.19970218,-0.15394508,-0.24731817,3.61447089,0.05781252,1.28011129,1.55556701,-3.08503365,0.30007145,-1.03970665
2018-07-01,1.26277617,0.21531887,0.3182866,-0.6056974,-1.71825586,0.63199245,0.30104282,-1.01043829,-0.00829245,-0.11913981,-0.18579174,2.49504988,0.06863654,0.9855434,1.22806599,-2.21326523,0.23855785,-0.88438977
2018-08-01,1.03390719,0.28251264,0.4166194,-0.52835898,-1.65525136,0.62248253,0.35705283,-0.83951371,-0.02348403,-0.01405426,0.00813869,2.27285845,0.13013641,0.80668231,1.00957133,-2.03318727,0.02763132,-0.8737435
